"trip_distance","fare_amount","total_amount","trip_timelength","intratrip","weekday"
1.7,8,11.75,9.43333333333333,"no","miércoles"
0.6,5.5,8.3,5.9,"no","viernes"
4.72,20,25.56,28.3,"yes","miércoles"
3.01,17.5,23.16,26.65,"no","jueves"
1.41,7.5,11.16,7.43333333333333,"no","martes"
3.3,17,21.95,25.1833333333333,"no","jueves"
2.4,13.5,18.35,19.8833333333333,"no","miércoles"
1.86,9.5,12.96,11.0666666666667,"no","domingo"
1.8,10.5,15.35,14.3166666666667,"no","viernes"
5.8,20.5,26.75,19.95,"no","miércoles"
1.05,6,8.76,5.65,"no","miércoles"
0.58,6,9.36,6.6,"no","jueves"
1.2,12.5,17.15,19.5,"no","jueves"
8.3,28.5,35.75,29.0666666666667,"no","sábado"
1.1,8.5,11.75,11.2,"no","sábado"
5.8,23.5,30.35,30.4333333333333,"no","jueves"
2.1,10.5,14.75,12.35,"no","lunes"
2.5,11.5,15.36,11.9333333333333,"yes","sábado"
5.04,20.5,25.07,29.3,"no","viernes"
2.11,10.5,14.75,14.0666666666667,"no","jueves"
5.8,23,29.15,29.0833333333333,"yes","jueves"
1.22,8.5,12.25,11.2666666666667,"no","sábado"
1.22,7,9.3,7.45,"no","sábado"
3.5,25,32.16,42.9333333333333,"no","viernes"
11.4,31.5,37.8,15.35,"no","viernes"
1.3,9.5,14.1,13.1833333333333,"no","miércoles"
2.8,11.5,14.8,11.7,"no","martes"
4.58,15.5,20.16,13.15,"yes","sábado"
4.3,15.5,18.8,14.6666666666667,"yes","viernes"
2.9,12,16.6,14.2833333333333,"no","viernes"
7.56,24.5,38.47,27.8833333333333,"yes","martes"
1.8,10,14.15,12.2,"no","jueves"
3.09,26.5,31.3,45.9833333333333,"no","jueves"
3,12.5,16.55,14.6333333333333,"no","viernes"
1.3,7,9.95,7.33333333333333,"no","martes"
1.4,7.5,9.8,7.91666666666667,"no","miércoles"
0.6,5.5,8.15,5.83333333333333,"no","jueves"
3.5,17.5,20.68,23.9666666666667,"no","miércoles"
3.8,14.5,18.95,16.4833333333333,"no","sábado"
8.2,30.5,45.39,34.7333333333333,"yes","jueves"
4.3,19,24.35,28.0333333333333,"yes","jueves"
2.5,13.5,18.35,19.6666666666667,"no","miércoles"
1.37,15.5,20.76,25.2,"no","miércoles"
1,7,10.55,8.11666666666667,"no","jueves"
3.44,16,21.36,20.5166666666667,"no","martes"
4.6,18,23.15,23.7166666666667,"no","viernes"
1.02,6,8.76,5.43333333333333,"no","jueves"
2.96,11.5,15.36,10.5166666666667,"yes","jueves"
3.3,12,16.55,12.7666666666667,"no","lunes"
6.9,23.5,29.75,25.7333333333333,"yes","viernes"
5.64,18.5,24.75,18.6833333333333,"no","martes"
2.86,18,24.75,28.45,"no","miércoles"
2.3,13.5,17.76,20.5833333333333,"no","sábado"
1,8,11.75,10.3333333333333,"no","jueves"
2.5,12,15.95,15.3,"no","jueves"
4,15,19.05,15.6833333333333,"no","sábado"
0.7,6,8.75,7.18333333333333,"no","domingo"
1.12,6.5,9.36,6.36666666666667,"no","martes"
1.52,7,9.96,5.71666666666667,"no","miércoles"
3.7,13,17.15,11.8333333333333,"no","lunes"
8.77,26,39.41,19.4,"yes","jueves"
1.38,7.5,10.56,9.3,"no","jueves"
1.93,8,11.62,7.18333333333333,"yes","martes"
1.9,9,11.85,10.2833333333333,"no","martes"
2.2,11,14.3,13.7166666666667,"no","sábado"
0.91,6,9.36,6.41666666666667,"no","miércoles"
1.34,7.5,10.56,9.13333333333333,"no","viernes"
6.3,21,26.75,23.7333333333333,"no","jueves"
1.8,11,14.8,15.5833333333333,"no","viernes"
1.4,7.5,10,8.2,"no","lunes"
2.62,9,12.36,7.4,"no","viernes"
1.6,9.5,13.55,11.1833333333333,"no","viernes"
0.99,6,8.76,5.48333333333333,"no","sábado"
2.2,13,16.8,18.55,"no","jueves"
1.55,6.5,9.36,5.71666666666667,"no","sábado"
2.41,11,14.76,13.5833333333333,"no","jueves"
1.73,8,11.62,7.56666666666667,"no","domingo"
1.1,7,10.55,7.21666666666667,"no","viernes"
7.9,23,29.15,15.4666666666667,"yes","jueves"
2.2,9.5,12.95,10.9333333333333,"no","jueves"
1.02,6.5,9.96,7.7,"no","viernes"
2.2,11,15.35,13.3333333333333,"no","sábado"
1.84,8.5,11.76,9.41666666666667,"no","martes"
1.12,6.5,8.8,7.01666666666667,"no","martes"
1.6,8,10.8,8.41666666666667,"no","sábado"
1.83,8.5,11.76,9.46666666666667,"no","sábado"
6.44,22,27.96,24.6166666666667,"yes","martes"
0.51,6.5,9.96,7.91666666666667,"no","miércoles"
1.37,8,11.16,9,"no","viernes"
5.44,19.5,26,17.9666666666667,"no","lunes"
2.7,13.5,19.1,17.9333333333333,"no","jueves"
2.3,9,12.35,8.21666666666667,"no","lunes"
2.82,13.5,17.76,19.05,"no","sábado"
4.54,15.5,20.76,16.8,"no","miércoles"
1.07,7,10.56,8.31666666666667,"no","martes"
2,9.5,12.1,11.0166666666667,"no","sábado"
2.1,9,12.35,9.13333333333333,"no","domingo"
2,10.5,14.75,14,"no","martes"
3.16,12.5,17.25,14.15,"yes","martes"
2.01,15.5,19,24.4,"no","viernes"
1.1,6.5,9.95,7.33333333333333,"no","lunes"
4.2,20,25.3,29.2333333333333,"no","lunes"
0.85,8.5,10.8,11.9166666666667,"no","viernes"
1.8,16.5,20.3,27.0833333333333,"no","viernes"
0.81,8.5,11.76,11.8,"no","viernes"
1.26,8.5,11.84,11.7166666666667,"no","viernes"
0.52,7.5,11.16,9.75,"no","jueves"
